date,RSSI
2020-07-08 22:58:15.865593,74
2020-07-08 22:58:16.984634,73
2020-07-08 22:58:18.103581,73
2020-07-08 22:58:19.223593,73
2020-07-08 22:58:20.342580,73
2020-07-08 22:58:21.462636,73
2020-07-08 22:58:22.582419,73
2020-07-08 22:58:23.686434,73
2020-07-08 22:58:24.805410,73
2020-07-08 22:58:25.926384,73
2020-07-08 22:58:27.044372,73
2020-07-08 22:58:28.163460,73
2020-07-08 22:58:29.284380,73
2020-07-08 22:58:30.403398,74
2020-07-08 22:58:31.523406,73
2020-07-08 22:58:32.643377,73
2020-07-08 22:58:33.763376,74
2020-07-08 22:58:34.882370,74
2020-07-08 22:58:36.001366,73
2020-07-08 22:58:37.121411,73
2020-07-08 22:58:38.241372,74
2020-07-08 22:58:39.361377,74
2020-07-08 22:58:40.480415,73
2020-07-08 22:58:41.599370,73
2020-07-08 22:58:42.719417,73
2020-07-08 22:58:43.822369,73
2020-07-08 22:58:44.958373,73
2020-07-08 22:58:46.078423,73
2020-07-08 22:58:47.182420,73
2020-07-08 22:58:48.301405,73
2020-07-08 22:58:49.420400,73
2020-07-08 22:58:50.540396,73
2020-07-08 22:58:51.660452,73
2020-07-08 22:58:52.780447,73
2020-07-08 22:58:53.899401,73
2020-07-08 22:58:55.018453,73
2020-07-08 22:58:56.138403,73
2020-07-08 22:58:57.258436,73
2020-07-08 22:58:58.377397,73
2020-07-08 22:58:59.481431,73
2020-07-08 22:59:00.617444,73
2020-07-08 22:59:01.721444,73
2020-07-08 22:59:02.841415,73
2020-07-08 22:59:03.960448,73
2020-07-08 22:59:05.079399,73
2020-07-08 22:59:06.198398,73
2020-07-08 22:59:07.319440,73
2020-07-08 22:59:08.437397,73
2020-07-08 22:59:09.557416,73
2020-07-08 22:59:10.677435,73
2020-07-08 22:59:11.797400,73
2020-07-08 22:59:12.917407,73
2020-07-08 22:59:14.035490,73
2020-07-08 22:59:15.156404,73
2020-07-08 22:59:16.275438,74
2020-07-08 22:59:17.395407,74
2020-07-08 22:59:18.515408,74
2020-07-08 22:59:19.634403,73
2020-07-08 22:59:20.753404,74
2020-07-08 22:59:21.874412,74
2020-07-08 22:59:22.977401,74
2020-07-08 22:59:24.097402,74
2020-07-08 22:59:25.217413,73
2020-07-08 22:59:26.336403,73
2020-07-08 22:59:27.455434,73
2020-07-08 22:59:28.575460,73
2020-07-08 22:59:29.695469,73
2020-07-08 22:59:30.815411,73
2020-07-08 22:59:31.934465,73
2020-07-08 22:59:33.054446,73
2020-07-08 22:59:34.173450,73
2020-07-08 22:59:35.292404,73
2020-07-08 22:59:36.412396,74
2020-07-08 22:59:37.532400,74
2020-07-08 22:59:38.651404,74
2020-07-08 22:59:39.756413,74
2020-07-08 22:59:40.874398,74
2020-07-08 22:59:42.106398,74
2020-07-08 22:59:43.226452,74
2020-07-08 22:59:44.346408,74
2020-07-08 22:59:45.465401,74
2020-07-08 22:59:46.568399,74
2020-07-08 22:59:47.688438,74
2020-07-08 22:59:48.808404,74
2020-07-08 22:59:49.943435,74
2020-07-08 22:59:51.047457,73
2020-07-08 22:59:52.167402,74
2020-07-08 22:59:53.286402,74
2020-07-08 22:59:54.406405,74
2020-07-08 22:59:55.525893,74
2020-07-08 22:59:56.644954,74
2020-07-08 22:59:57.765960,73
2020-07-08 22:59:58.884953,74
2020-07-08 23:00:00.004956,74
2020-07-08 23:00:01.122952,74
2020-07-08 23:00:02.242957,74
2020-07-08 23:00:03.347965,74
2020-07-08 23:00:04.482048,74
2020-07-08 23:00:05.587047,74
2020-07-08 23:00:06.706230,74
2020-07-08 23:00:07.825839,74
2020-07-08 23:00:08.944838,74
2020-07-08 23:00:10.064889,74
2020-07-08 23:00:11.183831,73
2020-07-08 23:00:12.303834,73
2020-07-08 23:00:13.423859,73
2020-07-08 23:00:14.543886,73
2020-07-08 23:00:15.662877,73
2020-07-08 23:00:16.782837,73
2020-07-08 23:00:17.901840,73
